time,lat,lon,alt_gps,sats,millis,alt_baro,temp,pressure,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,high_ax,high_ay,high_az,voltage,current,watt,source,rssi,snr,time_s,accel_mag,alt_smooth,vz
2026-06-12 14:50:18,12.606829,100.940552,88.9,12,2309143,59.87,35.23,1006.08,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.84,-94.1,-0.361,port1,-81,12.5,36.0,0.277712567234542,59.968,-2.2439999999999998
2026-06-12 14:50:18,12.606829,100.940552,88.9,12,2309822,56.85,35.17,1006.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.836,-101.8,-0.391,port1,-84,12.0,36.0,0.277712567234542,56.586,-inf
2026-06-12 14:50:19,12.606874,100.940559,76.2,12,2310516,54.68,35.08,1006.7,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.812,-102.6,-0.391,port1,-83,12.0,37.0,0.277712567234542,52.972,-3.613999999999997
2026-06-12 14:50:20,12.606874,100.940559,76.2,12,2311214,48.15,35.01,1007.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.836,-94.1,-0.361,port1,-87,11.5,38.0,0.277712567234542,49.96,-3.0120000000000005
2026-06-12 14:50:20,12.606874,100.940559,76.2,12,2311901,45.31,34.92,1007.82,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.812,-95.0,-0.362,port1,-90,10.25,38.0,0.277712567234542,47.35,-inf
2026-06-12 14:50:21,12.606941,100.940536,67.2,12,2312592,44.81,34.82,1007.88,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.828,-96.9,-0.371,port1,-97,5.75,39.0,0.277712567234542,44.974000000000004,-2.3759999999999977
2026-06-12 14:50:22,12.606941,100.940536,67.2,12,2313278,43.8,34.74,1008.0,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.84,-99.6,-0.382,port1,-97,6.25,40.0,0.277712567234542,43.302,-1.6720000000000041
2026-06-12 14:50:23,12.606941,100.940536,67.2,12,2314085,42.8,34.67,1008.12,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.836,-93.8,-0.36,port1,-86,11.0,41.0,0.277712567234542,41.162,-2.1400000000000006
2026-06-12 14:50:23,12.607002,100.940567,57.7,12,2314758,39.79,34.61,1008.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.82,-97.2,-0.371,port1,-89,10.75,41.0,0.277712567234542,38.32,-inf
2026-06-12 14:50:24,12.607054,100.940559,57.7,12,2315432,34.61,34.54,1009.1,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.832,-95.0,-0.364,port1,-85,11.75,42.0,0.277712567234542,35.246,-3.073999999999998
